isPrem,dmgratio,hitratio,kd,nation,winrate,spots,moe,xp,image,battles,mastery,id,wn8,tier,bigImage,kpg,class,awards,armoreff,name,dpg,survival,dpgRanking
False,1.52,75,2.31,france,63.26,1.35,3,720,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F05_BDR_G1B.png,215,4,6721,2348,5,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F05_BDR_G1B.png,1.56,HT,"{'battleHeroes': {'highCaliber': 24, 'topGun': 6, 'confederate': 1, 'tankSniper': 1, 'steelWall': 3, 'defender': 4}, 'main': {'fireForEffect': 68, 'duelist': 10, 'fighter': 12, 'spotter': 1, 'reaper': 5, 'masterGunner': 25, 'sharpShooter': 37}, 'epic': {'pascucci': 1, 'radley': 1}}",0.21,BDR G1 B,813,32.56,
True,6.69,37,3.5,uk,60.87,0.04,0,492,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB78_Sexton_I.png,23,4,54609,2250,3,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB78_Sexton_I.png,1.83,SPG,"{'battleHeroes': {'confederate': 1}, 'main': {'duelist': 1, 'fighter': 2, 'reaper': 3, 'masterGunner': 5}, 'epic': {'gore': 1}}",0.27,Sexton I,514,47.83,
False,1.51,77,2.67,germany,65.26,1.39,3,1050,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G67_VK4502A.png,213,4,10513,3083,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G67_VK4502A.png,1.52,HT,"{'battleHeroes': {'highCaliber': 16, 'topGun': 4, 'confederate': 10, 'tankSniper': 3, 'steelWall': 6, 'invader': 2, 'patrolDuty': 1}, 'main': {'fireForEffect': 128, 'duelist': 22, 'fighter': 20, 'shellproof': 6, 'kamikaze': 5, 'spotter': 4, 'reaper': 5, 'masterGunner': 17, 'sharpShooter': 29}, 'epic': {}}",0.51,VK 45.02 A,1915,43.19,
False,1.97,80,3.22,china,74.03,1.27,3,1335,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch51_BZ_58.png,77,4,9777,4451,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/china-Ch51_BZ_58.png,1.92,HT,"{'battleHeroes': {'highCaliber': 14, 'topGun': 2, 'confederate': 6, 'steelWall': 7, 'patrolDuty': 1}, 'main': {'fireForEffect': 60, 'duelist': 17, 'fighter': 9, 'shellproof': 7, 'kamikaze': 2, 'spotter': 2, 'reaper': 4, 'masterGunner': 15, 'sharpShooter': 25}, 'epic': {'pascucci': 1, 'pool': 1}}",0.76,BZ-58,2191,40.26,
False,2.3,83,5.06,uk,74.03,3.16,3,1363,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB126_FSV_Scheme_A.png,77,4,20561,4880,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB126_FSV_Scheme_A.png,2.1,MT,"{'battleHeroes': {'highCaliber': 13, 'topGun': 3, 'confederate': 9, 'tankSniper': 5, 'defender': 2, 'patrolDuty': 5}, 'main': {'fireForEffect': 60, 'duelist': 15, 'fighter': 13, 'spotter': 4, 'reaper': 3, 'masterGunner': 24, 'sharpShooter': 37}, 'epic': {'lehvaslaiho': 3, 'oskin': 1, 'pascucci': 2}}",0.04,FSV Sch. A,1782,58.44,
False,1.98,80,3.33,ussr,63.16,2.12,3,1108,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R144_K_91.png,266,4,21761,4134,10,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R144_K_91.png,1.88,MT,"{'battleHeroes': {'highCaliber': 29, 'topGun': 9, 'confederate': 43, 'tankSniper': 6, 'steelWall': 2, 'defender': 3, 'scout': 2, 'patrolDuty': 3}, 'main': {'fireForEffect': 203, 'duelist': 32, 'fighter': 31, 'shellproof': 1, 'spotter': 7, 'reaper': 3, 'masterGunner': 16, 'sharpShooter': 32}, 'epic': {'dumitru': 1, 'pascucci': 1, 'pool': 1, 'radley': 2}}",0.33,K-91,3264,43.61,
True,2.86,70,3.35,ussr,66.36,1.44,3,1122,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R89_SU122_44.png,217,4,55297,4007,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R89_SU122_44.png,1.98,TD,"{'battleHeroes': {'highCaliber': 42, 'topGun': 9, 'tankSniper': 5, 'steelWall': 2, 'defender': 1, 'scout': 1, 'patrolDuty': 1}, 'main': {'fireForEffect': 182, 'duelist': 24, 'fighter': 25, 'shellproof': 15, 'kamikaze': 1, 'spotter': 3, 'reaper': 5, 'masterGunner': 12, 'sharpShooter': 23}, 'epic': {'pascucci': 4, 'radley': 3}}",0.55,SU-122-44,1954,41.01,
False,1.64,80,2.47,china,61.31,2.04,3,974,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch19_121.png,442,4,4145,3235,10,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/china-Ch19_121.png,1.62,MT,"{'battleHeroes': {'highCaliber': 32, 'topGun': 10, 'confederate': 22, 'tankSniper': 6, 'steelWall': 9, 'defender': 1, 'invader': 1, 'scout': 2, 'patrolDuty': 5}, 'main': {'fireForEffect': 259, 'duelist': 44, 'fighter': 37, 'shellproof': 10, 'spotter': 5, 'reaper': 3, 'masterGunner': 25, 'sharpShooter': 53}, 'epic': {'pascucci': 4, 'radley': 1}}",0.46,121,2768,34.62,
False,2.43,73,4.45,ussr,72.92,1.21,3,1079,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R72_T150.png,144,4,11265,4095,6,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R72_T150.png,2.01,HT,"{'battleHeroes': {'highCaliber': 28, 'topGun': 4, 'confederate': 1, 'steelWall': 6}, 'main': {'fireForEffect': 91, 'duelist': 17, 'fighter': 22, 'shellproof': 8, 'kamikaze': 1, 'spotter': 1, 'reaper': 3, 'masterGunner': 16, 'sharpShooter': 30}, 'epic': {'kolobanov': 1}}",0.79,T-150,1572,54.86,
False,3.42,59,9.5,japan,88.89,2,0,613,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J26_Type_89.png,9,4,5985,2331,2,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/japan-J26_Type_89.png,2.11,MT,"{'battleHeroes': {}, 'main': {'fireForEffect': 8, 'duelist': 1, 'fighter': 1, 'masterGunner': 7, 'sharpShooter': 11}, 'epic': {}}",0.3,I-Go/Chi-Ro,347,77.78,
False,2.26,76,2.39,germany,65.55,1.01,3,897,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G18_JagdPanther.png,209,4,3857,2933,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G18_JagdPanther.png,1.52,TD,"{'battleHeroes': {'highCaliber': 14, 'topGun': 6, 'tankSniper': 2, 'defender': 1, 'patrolDuty': 1}, 'main': {'fireForEffect': 98, 'duelist': 7, 'fighter': 15, 'shellproof': 1, 'kamikaze': 1, 'spotter': 2, 'reaper': 4, 'masterGunner': 18, 'sharpShooter': 43}, 'epic': {'radley': 1}}",0.32,JPanther,1521,36.36,
True,1.98,81,2.92,france,67.96,1.82,3,1398,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F74_AMX_M4_1949.png,103,4,62785,4877,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F74_AMX_M4_1949.png,1.67,HT,"{'battleHeroes': {'highCaliber': 18, 'topGun': 2, 'confederate': 17, 'tankSniper': 1, 'steelWall': 14, 'defender': 1}, 'main': {'fireForEffect': 79, 'duelist': 13, 'fighter': 8, 'shellproof': 18, 'kamikaze': 1, 'spotter': 3, 'reaper': 6, 'masterGunner': 21, 'sharpShooter': 37}, 'epic': {'pascucci': 1, 'radley': 1}}",1.22,AMX M4 49,2503,42.72,
True,1.46,78,2.82,ussr,65.61,1.88,3,1349,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R54_KV-5.png,189,4,53249,4135,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R54_KV-5.png,1.86,HT,"{'battleHeroes': {'highCaliber': 30, 'topGun': 8, 'confederate': 13, 'steelWall': 34, 'defender': 1, 'patrolDuty': 3}, 'main': {'fireForEffect': 120, 'duelist': 46, 'fighter': 28, 'shellproof': 34, 'kamikaze': 1, 'spotter': 4, 'reaper': 6, 'masterGunner': 14, 'sharpShooter': 34}, 'epic': {'radley': 1}}",1.33,KV-5,2329,33.86,
False,5.84,46,2.95,uk,75.9,0.37,0,767,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB77_FV304.png,83,4,11857,2590,6,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB77_FV304.png,1.57,SPG,"{'battleHeroes': {'confederate': 3}, 'main': {'fighter': 1, 'kamikaze': 1, 'spotter': 1, 'reaper': 4, 'masterGunner': 15, 'sharpShooter': 19}, 'epic': {}}",0.02,FV304,1016,46.99,
True,2.72,89,5,germany,85.71,1.29,0,1557,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G163_Pz_Kpfw_KW_Ir_mit_75mm_kwk40.png,7,4,59153,5353,5,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G163_Pz_Kpfw_KW_Ir_mit_75mm_kwk40.png,2.86,HT,"{'battleHeroes': {'highCaliber': 2, 'topGun': 1, 'steelWall': 2}, 'main': {'fireForEffect': 7, 'duelist': 3, 'fighter': 2, 'shellproof': 2, 'masterGunner': 22, 'sharpShooter': 53}, 'epic': {}}",1.8,Pz. KW I,1833,42.86,
True,1.24,78,1.69,germany,59.5,2.92,3,921,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G85_Auf_Panther.png,595,4,14353,3500,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G85_Auf_Panther.png,1.24,LT,"{'battleHeroes': {'highCaliber': 6, 'topGun': 9, 'confederate': 14, 'tankSniper': 2, 'steelWall': 1, 'defender': 5, 'invader': 2, 'scout': 8, 'patrolDuty': 9}, 'main': {'fireForEffect': 272, 'duelist': 54, 'fighter': 40, 'kamikaze': 65, 'spotter': 10, 'reaper': 3, 'masterGunner': 21, 'sharpShooter': 49}, 'epic': {'orlik': 3, 'pascucci': 2}}",0.09,Aufkl.Panther,1064,26.22,
True,2.56,67,1,uk,66.67,4.33,0,1139,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB113_Matilda_LVT.png,3,4,51281,3263,4,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB113_Matilda_LVT.png,1,MT,"{'battleHeroes': {'highCaliber': 1, 'confederate': 1}, 'main': {'fireForEffect': 3, 'masterGunner': 5, 'sharpShooter': 15}, 'epic': {}}",0.41,Matilda LVT,1280,0,
True,2.07,82,3.35,ussr,64.64,2.78,3,1204,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R95_Object_907.png,543,4,15617,4104,10,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R95_Object_907.png,2.02,MT,"{'battleHeroes': {'highCaliber': 101, 'topGun': 26, 'confederate': 100, 'tankSniper': 9, 'steelWall': 11, 'defender': 2, 'scout': 6, 'patrolDuty': 18}, 'main': {'fireForEffect': 445, 'duelist': 108, 'fighter': 78, 'shellproof': 23, 'spotter': 7, 'reaper': 5, 'masterGunner': 24, 'sharpShooter': 54}, 'epic': {'billotte': 1, 'dumitru': 1, 'fadin': 1, 'naydin': 1, 'pascucci': 4, 'radley': 2}}",0.62,Obj. 907,3571,39.78,
False,8.22,35,2.24,ussr,59.5,0.02,1,789,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R15_S-51.png,121,4,1793,2267,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R15_S-51.png,1.17,SPG,"{'battleHeroes': {'highCaliber': 4, 'defender': 1}, 'main': {'fighter': 4, 'reaper': 4, 'masterGunner': 6}, 'epic': {'gore': 4}}",0.11,S-51,1524,47.93,
False,1.66,84,2.21,uk,62.72,3.73,3,1071,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB103_GSOR3301_AVR_FS.png,169,4,58705,3901,9,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB103_GSOR3301_AVR_FS.png,1.36,LT,"{'battleHeroes': {'confederate': 19, 'tankSniper': 2, 'defender': 2, 'scout': 4, 'patrolDuty': 21}, 'main': {'fireForEffect': 117, 'duelist': 13, 'fighter': 14, 'spotter': 10, 'reaper': 3, 'masterGunner': 22, 'sharpShooter': 36}, 'epic': {'billotte': 1, 'fadin': 1, 'orlik': 4, 'pascucci': 3}}",0.03,GSOR,1724,38.46,
True,1.61,78,2.27,germany,62.1,1.58,3,1225,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G51_Lowe.png,248,4,54289,3774,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G51_Lowe.png,1.38,HT,"{'battleHeroes': {'highCaliber': 32, 'topGun': 6, 'confederate': 18, 'tankSniper': 1, 'steelWall': 11, 'patrolDuty': 2}, 'main': {'fireForEffect': 166, 'duelist': 26, 'fighter': 12, 'shellproof': 18, 'kamikaze': 1, 'spotter': 4, 'reaper': 3, 'masterGunner': 29, 'sharpShooter': 33}, 'epic': {'pascucci': 1}}",0.88,Löwe,2232,39.11,
True,2.33,83,3.8,uk,70.92,1.98,3,1268,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB98_T95_FV4201_Chieftain.png,1513,4,57937,4272,10,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB98_T95_FV4201_Chieftain.png,2.01,HT,"{'battleHeroes': {'highCaliber': 431, 'topGun': 47, 'confederate': 255, 'tankSniper': 27, 'steelWall': 95, 'defender': 6, 'invader': 1, 'scout': 3, 'patrolDuty': 13}, 'main': {'fireForEffect': 1313, 'duelist': 293, 'fighter': 229, 'shellproof': 148, 'spotter': 6, 'reaper': 4, 'masterGunner': 28, 'sharpShooter': 70}, 'epic': {'billotte': 1, 'dumitru': 4, 'kolobanov': 1, 'pascucci': 25, 'pool': 1, 'radley': 4}}",0.92,T95/FV4201,4281,47.26,
False,2.62,80,3.84,sweden,65.23,1.52,3,1117,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/sweden-S11_Strv_103B.png,302,4,4737,4357,10,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/sweden-S11_Strv_103B.png,2.09,TD,"{'battleHeroes': {'highCaliber': 74, 'topGun': 12, 'confederate': 35, 'tankSniper': 30, 'steelWall': 12, 'defender': 2, 'patrolDuty': 6}, 'main': {'fireForEffect': 265, 'duelist': 40, 'fighter': 50, 'shellproof': 23, 'spotter': 4, 'reaper': 4, 'masterGunner': 19, 'sharpShooter': 51}, 'epic': {'pascucci': 2, 'radley': 2}}",0.74,Strv 103B,3767,45.7,
False,1.65,78,2.55,ussr,67.2,2.46,3,1133,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R23_T-43.png,125,4,6657,3992,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R23_T-43.png,1.74,MT,"{'battleHeroes': {'highCaliber': 15, 'topGun': 5, 'confederate': 7, 'tankSniper': 1, 'steelWall': 2, 'scout': 2, 'patrolDuty': 2}, 'main': {'fireForEffect': 53, 'duelist': 15, 'fighter': 15, 'kamikaze': 1, 'spotter': 8, 'reaper': 3, 'masterGunner': 14, 'sharpShooter': 41}, 'epic': {'lehvaslaiho': 3}}",0.31,T-43,1550,32,
False,2.97,76,4.79,uk,70.18,3.16,3,1159,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB124_AEC_Armoured_Car.png,57,4,20049,5683,5,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB124_AEC_Armoured_Car.png,2.35,MT,"{'battleHeroes': {'highCaliber': 12, 'topGun': 5, 'confederate': 6, 'defender': 1, 'patrolDuty': 3}, 'main': {'fireForEffect': 50, 'duelist': 12, 'fighter': 9, 'spotter': 3, 'reaper': 3, 'masterGunner': 20, 'sharpShooter': 27}, 'epic': {'lehvaslaiho': 4, 'nicol': 1, 'pascucci': 1, 'radley': 1}}",0.02,AEC,1432,50.88,
True,2.47,85,4.5,usa,66.44,1.29,3,1283,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A132_T77.png,146,4,51233,4812,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/usa-A132_T77.png,2.16,HT,"{'battleHeroes': {'highCaliber': 28, 'topGun': 6, 'confederate': 2, 'tankSniper': 7, 'steelWall': 1, 'defender': 1}, 'main': {'fireForEffect': 123, 'duelist': 21, 'fighter': 24, 'shellproof': 2, 'kamikaze': 1, 'spotter': 4, 'reaper': 3, 'masterGunner': 30, 'sharpShooter': 69}, 'epic': {'naydin': 1, 'pascucci': 2, 'radley': 1}}",0.29,T77,2770,52.05,
True,2.37,82,3.81,germany,70.45,2.33,3,1452,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G144_Kpz_50t.png,247,4,47121,4807,9,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G144_Kpz_50t.png,2.25,MT,"{'battleHeroes': {'highCaliber': 63, 'topGun': 14, 'confederate': 45, 'tankSniper': 6, 'steelWall': 12, 'defender': 1, 'patrolDuty': 3}, 'main': {'fireForEffect': 215, 'duelist': 59, 'fighter': 50, 'shellproof': 14, 'kamikaze': 1, 'spotter': 5, 'reaper': 4, 'masterGunner': 25, 'sharpShooter': 43}, 'epic': {'lehvaslaiho': 9, 'naydin': 1, 'nicol': 2, 'oskin': 1, 'pascucci': 6, 'radley': 2}}",0.69,Kpz 50 t,3601,40.89,
False,1.47,72,2.47,japan,68.29,0.98,3,1110,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J27_O_I_120.png,246,4,4961,3361,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/japan-J27_O_I_120.png,1.4,HT,"{'battleHeroes': {'highCaliber': 24, 'topGun': 2, 'confederate': 4, 'steelWall': 19, 'defender': 3, 'patrolDuty': 1}, 'main': {'fireForEffect': 140, 'duelist': 24, 'fighter': 25, 'shellproof': 30, 'spotter': 5, 'reaper': 4, 'masterGunner': 18, 'sharpShooter': 23}, 'epic': {}}",1.15,O-Ho,1984,43.5,
False,2.19,82,3.51,sweden,66.94,3.21,3,1349,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/sweden-S13_Leo.png,121,4,1665,5591,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/sweden-S13_Leo.png,2.09,MT,"{'battleHeroes': {'highCaliber': 22, 'topGun': 4, 'confederate': 13, 'tankSniper': 3, 'steelWall': 1, 'defender': 3, 'scout': 2, 'patrolDuty': 4}, 'main': {'fireForEffect': 92, 'duelist': 15, 'fighter': 20, 'spotter': 5, 'reaper': 3, 'masterGunner': 23, 'sharpShooter': 38}, 'epic': {'lehvaslaiho': 5, 'oskin': 2, 'pascucci': 2}}",0.08,Leo,1964,40.5,
