tank_id,damage,winrate,direct_hits,image,life_time,distance_traveled,player_winrate,spotting_assist,isPrem,tracking_assist,damage_blocked,nation,big_image,survival,frags,battles,pen_rate,potential_damage_received,tier,penetrations,sniper_damage,shots_fired,damage_received,base_capture_points,base_defense_points,name,winrate_differential,class,spots,wn8,hit_rate
60481,1547,51.01,5.85,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F114_Projet_4_1.png,313,1676,50.03,463,True,57,135,France,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/france-F114_Projet_4_1.png,28.99,0.91,87226,74.37,1591,9,4.35,477,7.73,1506,0.66,0.49,Char Futur 4,0.98,MT,1.31,1331,75.7
13905,1678,47.14,2.33,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB83_FV4005.png,347,986,51.17,166,False,36,38,UK,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/uk-GB83_FV4005.png,31.7,0.93,86056,54.09,1256,10,1.26,838,3.79,1480,0.44,0.2,FV4005,-4.03,TD,0.29,1219,61.36
16161,1117,49.48,2.39,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A88_M53_55.png,387,586,49.54,15,False,35,1,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A88_M53_55.png,43.32,0.53,72098,6.24,285,9,0.15,1067,7.55,261,0.19,0.8,M53/M55,-0.06,SPG,0.02,1005,31.64
60529,1427,50.95,7.73,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/czech-Cz20_ShPTK_TVP_100_mm.png,331,1446,51.89,224,True,62,47,Czech,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/czech-Cz20_ShPTK_TVP_100_mm.png,31.3,0.99,70430,70.78,1000,8,5.47,753,12.44,950,0.58,0.61,ShPTK-TVP,-0.94,TD,0.57,1584,62.16
51361,1369,51.79,8,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46.png,298,1606,51.83,388,True,59,59,Italy,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/italy-It13_Progetto_M35_mod_46.png,26.94,0.96,68871,75.72,1303,8,6.06,446,10.79,1231,0.54,0.5,Progetto 46,-0.04,MT,1.3,1623,74.17
60209,1667,55.3,4.03,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch47_BZ_176.png,312,1271,53.21,322,True,44,911,China,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/china-Ch47_BZ_176.png,33.19,1,68813,58.09,2228,8,2.34,214,5.47,1366,1.05,0.31,BZ-176,2.09,HT,1.22,1720,73.76
50465,942,47.25,4.01,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A169_PattonIII_120.png,285,1224,48.53,285,True,46,361,USA,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/usa-A169_PattonIII_120.png,22.51,0.46,67909,62.87,1916,9,2.52,227,6.22,1532,0.73,0.23,Patton Tank,-1.28,MT,0.74,701,64.57
62481,1304,49.72,4.04,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png,333,1259,49.83,164,True,41,5,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G114_Skorpian.png,30.96,0.83,66114,74.11,888,8,2.99,728,6.26,933,0.64,0.4,Skorpion,-0.11,TD,0.4,1306,64.44
19217,1902,47.76,4.09,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G121_Grille_15_L63.png,360,1303,50.29,243,False,60,12,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G121_Grille_15_L63.png,34.01,0.89,63299,70.48,1180,10,2.88,1095,5.88,1415,0.59,0.32,Grille 15,-2.53,TD,0.41,1321,69.52
8737,1588,51.36,4.09,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A40_T95.png,344,1027,49.72,293,False,46,1480,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A40_T95.png,36.19,0.83,62785,63.59,2990,9,2.6,275,5.5,1493,1.57,0.29,T95,1.64,TD,0.5,1238,74.35
12049,1953,50.01,3.18,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G72_JagdPz_E100.png,351,1051,50.13,285,False,40,1168,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G72_JagdPz_E100.png,34.54,0.88,59207,68.92,2970,10,2.19,573,4.41,1835,0.87,0.21,Jg.Pz. E 100,-0.12,TD,0.5,1393,72.18
2593,1486,48.81,3.61,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A14_T30.png,331,1057,49.32,230,False,45,453,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A14_T30.png,30.58,0.77,58612,65.95,1851,9,2.38,429,5.23,1383,0.79,0.29,T30,-0.51,TD,0.54,1205,69.04
62497,678,48.57,4.48,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A130_Super_Hellcat.png,294,1270,48.35,214,True,33,13,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A130_Super_Hellcat.png,24.48,0.58,56232,68.22,681,7,3.05,299,7.1,681,0.81,0.41,Super Hellcat,0.22,TD,0.77,853,63.07
15697,2313,50.57,9.4,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB91_Super_Conqueror.png,320,1299,52.26,429,False,99,1343,UK,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/uk-GB91_Super_Conqueror.png,30.5,0.94,55100,65.13,3497,10,6.12,308,11.87,2271,0.64,0.41,S. Conqueror,-1.69,HT,1.1,1903,79.22
4993,1017,48.25,4.89,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S29_UDES_14_5.png,305,1472,49.5,352,False,43,74,Sweden,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/sweden-S29_UDES_14_5.png,25.93,0.65,54838,70.47,1295,8,3.45,342,7.22,1229,0.72,0.4,UDES 14 5,-1.25,MT,1.02,1163,67.75
16657,1175,48.62,3.35,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G99_RhB_Waffentrager.png,349,975,49.31,143,False,37,2,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G99_RhB_Waffentrager.png,34.7,0.78,53360,70.03,759,8,2.35,599,5.39,831,0.71,0.35,Rhm.-B. WT,-0.69,TD,0.27,1054,62.2
52305,1372,50.79,6.32,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB109_GSOR_1008.png,336,1303,50.3,210,True,49,145,UK,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/uk-GB109_GSOR_1008.png,33.03,0.98,52145,74.48,1137,8,4.71,531,8.57,963,0.82,0.51,GSOR 1008,0.49,TD,0.54,1377,73.74
5537,1491,50.47,5.98,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It24_Controcarro_1_Mk2.png,333,1112,49.99,301,False,58,1039,Italy,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/italy-It24_Controcarro_1_Mk2.png,32.01,0.74,51970,62.23,2625,9,3.72,283,7.98,1617,1.1,0.36,CC-1 Mk. 2,0.48,TD,0.7,1241,74.95
5249,1364,48.98,5.7,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S27_UDES_16.png,321,1491,50.05,425,False,59,442,Sweden,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/sweden-S27_UDES_16.png,28.94,0.72,50646,67.49,1764,9,3.85,379,8.05,1388,0.76,0.5,UDES 16,-1.07,MT,1.04,1265,70.85
3473,2327,51.08,5.52,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl15_60TP_Lewandowskiego.png,332,1306,52.11,428,False,62,1410,Poland,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/poland-Pl15_60TP_Lewandowskiego.png,32.89,0.97,50399,62.9,3693,10,3.47,252,7.03,2385,0.8,0.27,60TP,-1.03,HT,1,1823,78.54
51057,1671,53.61,5.75,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz14_Skoda_T-56.png,304,1287,52.43,261,True,53,603,Czech,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/czech-Cz14_Skoda_T-56.png,30.29,1,49810,70.3,1972,8,4.05,218,7.38,1377,0.75,0.38,Škoda T 56,1.18,HT,1,1662,77.95
7169,1909,49.75,6.39,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R45_IS-7.png,301,1415,51.27,509,False,78,1463,USSR,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/ussr-R45_IS-7.png,26.94,0.8,49487,63.81,3678,10,4.08,174,8.13,2295,0.69,0.32,IS-7,-1.52,HT,1.48,1635,78.58
19009,1102,49.43,4,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F108_Panhard_EBR_105.png,248,3128,52.57,1168,False,38,12,France,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/france-F108_Panhard_EBR_105.png,18.05,0.64,47983,70.98,1092,10,2.84,235,5.56,1204,0.33,0.4,EBR 105,-3.14,LT,3.92,1282,71.9
13857,1945,50.43,4.21,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A85_T110E3.png,334,1050,50.47,334,False,49,1534,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A85_T110E3.png,32.44,0.83,47692,68.96,3175,10,2.9,345,5.62,1696,1.05,0.22,T110E3,-0.04,TD,0.59,1352,74.99
14865,1502,49.67,5.55,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G91_Pro_Ag_A.png,326,1558,50.03,376,False,58,91,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G91_Pro_Ag_A.png,29.75,0.8,47310,72.85,1475,9,4.04,622,7.94,1419,0.63,0.46,Leopard PT A,-0.36,MT,0.93,1330,69.82
16401,1573,48.29,4.41,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G97_Waffentrager_IV.png,370,1112,49.45,193,False,51,6,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G97_Waffentrager_IV.png,36.46,0.85,47126,69.78,1055,9,3.08,879,6.65,1209,0.82,0.49,WT auf Pz. IV,-1.16,TD,0.33,1242,66.32
5505,1978,50.02,7.14,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S28_UDES_15_16.png,319,1640,51.55,537,False,77,592,Sweden,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/sweden-S28_UDES_15_16.png,29.48,0.93,47047,68.27,2147,10,4.87,476,9.68,1683,0.59,0.41,UDES 15/16,-1.53,MT,1.22,1625,73.76
2417,1950,48.94,8.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz04_T50_51.png,302,1720,51.6,457,False,88,116,Czech,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/czech-Cz04_T50_51.png,25.33,1,46801,71.98,1669,10,6.47,654,11.86,1596,0.41,0.4,TVP T 50/51,-2.66,MT,1.29,1628,75.73
4737,1975,48.97,7.6,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S11_Strv_103B.png,367,1298,50.84,312,False,88,491,Sweden,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/sweden-S11_Strv_103B.png,36.73,0.91,45828,71.6,1744,10,5.44,1081,10.7,1373,0.97,0.54,Strv 103B,-1.87,TD,0.54,1427,71.01
4769,1037,48.78,4.79,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It31_CC_67_B.png,316,1140,49.15,225,False,42,771,Italy,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/italy-It31_CC_67_B.png,28.47,0.63,45578,64.19,1908,8,3.08,232,6.72,1122,1,0.34,SMV CC-67,-0.37,TD,0.65,1046,71.37
8705,1311,50.12,3.35,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R52_Object_261.png,387,593,49.88,17,False,50,9,USSR,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/ussr-R52_Object_261.png,43.28,0.57,44539,5.61,332,10,0.19,1248,9.05,294,0.2,0.58,Obj. 261,0.24,SPG,0.02,1072,37.06
61729,1522,50.12,6.39,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A125_AEP_1.png,298,1203,50.14,314,True,56,905,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A125_AEP_1.png,25.27,0.67,44167,63.76,2599,9,4.08,210,8.53,1701,0.75,0.33,AE Phase I,-0.02,HT,1.04,1325,74.91
52097,1241,48.92,4.56,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S22_Strv_S1.png,352,1044,49.38,174,True,44,85,Sweden,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/sweden-S22_Strv_S1.png,35.34,0.74,43952,76.99,855,8,3.51,785,6.92,743,0.92,0.49,Strv S1,-0.46,TD,0.35,1202,65.81
5281,2143,52.25,6.84,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It23_CC_3.png,336,1249,51.43,418,False,70,1325,Italy,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/italy-It23_CC_3.png,34.86,0.96,43832,65.06,3042,10,4.45,330,8.74,1827,0.98,0.32,Minotauro,0.82,TD,0.86,1558,78.23
11841,1044,48.79,3.65,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F38_Bat_Chatillon155_58.png,383,731,48.81,15,False,44,1,France,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/france-F38_Bat_Chatillon155_58.png,42.39,0.47,43302,5.88,305,10,0.21,1004,10.13,286,0.4,0.61,B-C 155 58,-0.02,SPG,0.02,769,35.98
13089,1768,48.46,3.84,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A83_T110E4.png,332,1109,49.31,307,False,49,803,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A83_T110E4.png,30.36,0.77,41184,68.66,2474,10,2.63,438,5.36,1700,0.88,0.22,T110E4,-0.85,TD,0.59,1214,71.52
7457,899,49.03,1.87,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A37_M40M43.png,379,429,48.44,15,False,24,2,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A37_M40M43.png,42.33,0.53,40379,7.35,259,8,0.14,853,6.38,234,0.1,0.57,M40/M43,0.59,SPG,0.02,867,29.39
9745,1478,49.26,5.39,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G55_E-75.png,317,1120,49.63,305,False,53,1102,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G55_E-75.png,28.83,0.67,40002,60.05,2895,9,3.24,191,7.11,1778,0.94,0.33,E 75,-0.37,HT,0.79,1282,75.78
22017,2059,49.23,6.77,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R155_Object_277.png,299,1473,51.65,464,False,66,1193,USSR,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/ussr-R155_Object_277.png,26.02,0.84,38663,66.07,3223,10,4.48,230,8.64,2111,0.5,0.34,Obj. 277,-2.42,HT,1.59,1707,78.37
44289,1394,52.85,6.12,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png,297,1237,51.74,255,True,54,962,USSR,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/ussr-R165_Object_703_II.png,27.74,0.85,37691,64.01,2369,8,3.91,152,7.94,1400,0.88,0.3,703 II (122),1.11,HT,1.01,1544,77.01
4433,1532,49.59,7.02,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB12_Conqueror.png,304,1172,49.79,314,False,64,939,UK,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/uk-GB12_Conqueror.png,26.68,0.68,36716,62.2,2739,9,4.36,222,9.09,1831,0.83,0.36,Conqueror,-0.2,HT,0.95,1326,77.16
9489,1818,48.25,5.12,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G56_E-100.png,325,1140,49.71,401,False,59,1769,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G56_E-100.png,30.11,0.76,36529,57.36,4241,10,2.94,181,6.71,2507,1.05,0.23,E 100,-1.46,HT,0.79,1361,76.31
8481,1239,49.21,1.72,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A38_T92.png,381,413,49.42,20,False,45,2,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A38_T92.png,41.79,0.52,35880,7.03,318,10,0.12,1184,6.03,294,0.04,0.42,T92 HMC,-0.21,SPG,0.01,957,28.61
16417,467,48.38,1.94,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A87_M44.png,362,499,47.84,11,False,27,0,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A87_M44.png,40.81,0.48,34981,9.49,191,6,0.18,426,8.15,190,0.25,0.64,M44,0.54,SPG,0.03,618,23.8
60497,1634,51.1,6.31,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB106_Cobra.png,323,1510,51.7,301,True,57,270,UK,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB106_Cobra.png,30.77,1.03,34926,61.01,1623,9,3.85,365,8.49,1354,0.71,0.48,Cobra,-0.6,MT,0.79,1449,74.32
11553,721,49.33,4.56,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A41_M18_Hellcat.png,297,1195,48.62,185,False,30,16,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A41_M18_Hellcat.png,26.97,0.77,34242,76.19,518,6,3.48,347,7.37,529,0.89,0.48,Hellcat,0.71,TD,0.78,1181,61.93
13889,1782,47.78,3.83,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F64_AMX_50Fosh_155.png,334,1244,49.74,260,True,49,555,France,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/france-F64_AMX_50Fosh_155.png,29.52,0.86,34125,70.58,2089,10,2.71,589,5.33,1565,0.64,0.29,Foch 155,-1.96,TD,0.57,1218,71.92
5377,950,47.86,4.41,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R19_IS-3.png,290,1160,48.62,225,False,41,658,USSR,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/ussr-R19_IS-3.png,23.75,0.53,34085,60.06,2073,8,2.65,99,6.16,1385,1,0.24,IS-3,-0.76,HT,0.81,930,71.51
2929,2172,48.71,6.93,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz17_Vz_55.png,309,1428,51.62,402,False,82,925,Czech,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/czech-Cz17_Vz_55.png,27.43,0.89,33674,68.99,2838,10,4.78,284,8.6,1976,0.5,0.41,Vz. 55,-2.91,HT,1.24,1605,80.54
14673,1057,47.58,4.64,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB80_Charioteer.png,327,1291,48.75,206,False,41,20,UK,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/uk-GB80_Charioteer.png,28.3,0.67,33657,69.63,908,8,3.23,534,7.4,874,0.77,0.42,Charioteer,-1.17,TD,0.5,1041,62.79
3681,2006,50.66,8.45,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J16_ST_B1.png,310,1747,52.23,537,False,87,444,Japan,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/japan-J16_ST_B1.png,27.67,0.94,33497,70.24,2114,10,5.93,510,11.7,1773,0.46,0.44,STB-1,-1.57,MT,1.4,1702,72.19
16897,1731,49.12,8.16,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R97_Object_140.png,301,1636,50.88,540,False,83,597,USSR,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/ussr-R97_Object_140.png,25.76,0.84,32889,69.79,2229,10,5.7,449,11.18,1702,0.53,0.34,Obj. 140,-1.76,MT,1.33,1428,73.01
55569,876,51.59,9.35,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G48_E-25.png,305,1557,49.89,333,True,32,54,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G48_E-25.png,28.47,0.95,32696,70.33,744,7,6.58,361,14.19,695,1.16,0.79,E 25,1.7,TD,1.27,1229,65.93
4225,1044,47.02,4.35,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S21_UDES_03.png,344,1176,48.61,191,False,36,12,Sweden,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/sweden-S21_UDES_03.png,31.88,0.63,31605,73.91,794,8,3.21,659,6.6,775,0.93,0.5,UDES 03,-1.59,TD,0.41,1007,65.89
10785,1985,48.87,8.32,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A69_T110E5.png,305,1327,51.52,428,False,79,1299,USA,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/usa-A69_T110E5.png,26.89,0.82,31526,63.49,3335,10,5.28,252,10.65,2089,0.61,0.35,T110E5,-2.65,HT,1.19,1591,78.15
7441,1336,48.52,5.38,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G58_VK4502P.png,316,1083,49.59,312,False,51,1332,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G58_VK4502P.png,28.25,0.61,30586,59.72,3116,9,3.21,161,7.11,1769,1.05,0.28,VK 45.02 B,-1.07,HT,0.72,1149,75.7
