isPrem,tank_id,avg_ammo_cost,tier,avg_earnings,image,name,class,avg_consumables_cost,nation,cost_per_shot,avg_repair_cost,earnings_per_minute,profit_per_minute,battles,avg_profit
True,23057,29340,9,122284,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G167_Tiger_Maus_120t.png,Tiger-Maus,HT,10563,Germany,3515,16931,22236,11901,72476,65449
True,57377,26685,8,102564,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A111_T25_Pilot.png,T25 Pilot 1,MT,3370,USA,2181,7570,19690,12467,980,64938
True,45057,16358,8,96041,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM.png,SU-130PM,TD,9169,USSR,2111,5587,15912,10757,84156,64925
True,63233,15444,8,96317,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R128_KV4_Kreslavskiy.png,KV-4 Kresl.,HT,5796,USSR,1765,10796,22548,15048,1123,64279
True,59425,21303,8,102917,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy_BF.png,T34 B,HT,11122,USA,2673,6671,20774,12882,1787,63820
True,27905,16697,8,93826,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM_DR.png,Forest Spirit,TD,7809,USSR,2177,5718,15659,10614,11074,63600
True,60753,24415,8,102335,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB115_Gonsalo.png,Gonsalo,HT,8561,UK,2832,6332,19753,12165,3773,63025
True,46865,21137,8,99861,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G143_E75_TS.png,E 75 TS,HT,8203,Germany,2294,7766,21354,13419,12536,62754
True,60529,20783,8,97932,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/czech-Cz20_ShPTK_TVP_100_mm.png,ShPTK-TVP,TD,8342,Czech,1372,6102,17893,11456,85566,62703
True,60225,26556,8,108689,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F116_Bat_Chatillon_Bourrasque.png,Bourrasque,MT,13135,France,3010,6471,20879,12011,177150,62525
True,45841,17816,8,97412,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/germany-G154_Kpz_07_RH.png,Kpz 07 RH,MT,9829,Germany,1126,7370,19670,12599,44462,62396
True,60209,37765,8,119765,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch47_BZ_176.png,BZ-176,HT,11685,China,6423,7974,23443,12202,87968,62339
True,50833,21249,8,98328,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/poland-Pl24_56TP.png,56TP,HT,7466,Poland,2386,7413,18488,11694,12012,62198
True,58625,17174,8,93950,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R111_ISU130.png,ISU-130,TD,10052,USSR,2143,4712,15342,10126,221,62011
True,51361,20230,8,97584,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46.png,Progetto 46,MT,7929,Italy,1531,7488,18301,11615,148347,61937
True,54289,22425,8,97307,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G51_Lowe.png,Löwe,HT,6916,Germany,2402,6824,18474,11608,19312,61141
True,817,26430,8,102742,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch03_WZ-111.png,WZ-111,HT,6544,China,3050,8633,20772,12360,867,61133
True,62481,16461,8,90921,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png,Skorpion,TD,7383,Germany,2189,5985,15991,10744,43184,61090
True,52097,14848,8,87956,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S22_Strv_S1.png,Strv S1,TD,7223,Sweden,1767,4974,14649,10145,28265,60910
True,51233,21412,8,98897,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A132_T77.png,T77,HT,9321,USA,2320,7859,18974,11570,5165,60303
True,62785,25969,8,102965,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F74_AMX_M4_1949.png,AMX M4 49,HT,8870,France,2418,8009,19875,11603,4348,60115
True,58913,20727,8,96171,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A117_T26E5.png,T26E5,HT,7248,USA,1587,8523,19166,11892,5015,59672
True,64049,16310,8,90697,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch14_T34_3.png,T-34-3,MT,7172,China,1969,7549,17608,11583,9967,59664
True,51089,22900,8,97662,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl19_CS_52_LIS.png,CS-52 LIS,MT,8615,Poland,2185,7159,18884,11406,46175,58987
True,63025,24288,9,98102,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch40_WZ120G_FT.png,WZ-120G FT,TD,5466,China,2693,9432,15001,9008,477,58914
True,913,18948,8,91604,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl08_50TP_prototyp.png,50TP pr.,HT,6576,Poland,2346,7353,17831,11431,9856,58726
True,62529,18376,8,91433,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F19_Lorraine40t.png,Lorr. 40 t,MT,7830,France,1907,7071,17916,11395,22183,58156
True,59169,15868,8,87797,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A117_T26E5_Patriot.png,T26E5 P,HT,5625,USA,1228,8462,17418,11475,12100,57841
True,62273,23477,8,96118,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F84_Somua_SM.png,Somua SM,HT,7165,France,2156,7840,18434,11053,7863,57635
True,60449,20245,8,92615,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A122_TS-5.png,TS-5,TD,6593,USA,2155,8223,17522,10888,10142,57553
True,59985,28957,8,102464,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB99_Turtle_Mk1.png,Turtle I,TD,8419,UK,2285,7984,18863,10512,30426,57102
True,48641,20137,8,91626,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252K.png,Defender,HT,7749,USSR,2639,6659,18531,11544,6085,57079
True,63041,12483,8,86593,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F73_M4A1_Revalorise.png,M4A1 Rev.,MT,9762,France,1454,7321,15455,10178,4338,57026
True,63281,16624,8,87317,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch39_WZ120_1G_FT.png,WZ-120-1 FT,TD,8021,China,1993,5674,15150,9889,9430,56996
True,62017,19079,8,91000,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F74_AMX_M4_1949_Liberte.png,AMX M4 49 L,HT,6750,France,1922,8192,18612,11653,6802,56978
True,47617,20579,8,93279,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R146_STG.png,STG,MT,9200,USSR,2427,6866,16383,9947,2153,56633
True,32065,21814,8,96200,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/france-F117_Alt_Proto_AMX_30.png,A.P. AMX 30,MT,10665,France,2059,7157,18588,10929,4862,56563
True,43297,33180,8,106566,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A158_T832.png,T-832,HT,9288,USA,2881,7564,19727,10465,24626,56532
True,2849,18301,8,88848,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy.png,T34,HT,7756,USA,2436,6398,17415,11053,4259,56391
True,60417,20544,8,90906,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto.png,IS-3A,HT,7307,USSR,2331,6968,18213,11237,6504,56085
True,52065,16301,8,86040,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J18_STA_2_3.png,STA-2,MT,6255,Japan,1382,7511,15815,10288,4123,55971
True,52513,32048,8,102556,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A45_M6A2E1.png,M6A2E1,HT,7671,USA,3190,6900,20680,11279,2924,55935
True,47377,8263,8,81003,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G140_HWK_30.png,HWK 30,LT,10228,Germany,1135,6591,18624,12857,11379,55919
True,33041,24282,9,99035,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G168_KJpz_T_III.png,TIII Jäger,TD,10658,Germany,2670,8225,16065,9062,6948,55868
True,49665,20805,8,90923,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252U.png,Obj. 252U,HT,7575,USSR,2695,6688,17708,10878,6909,55854
True,64561,26135,8,94678,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch23_112.png,112,HT,6370,China,2937,6725,18846,11037,3026,55447
True,34081,25658,8,96959,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A149_AMBT.png,AMBT,MT,9191,USA,2887,6778,18220,10398,15520,55331
True,48913,19308,8,91076,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G138_VK168_02.png,VK 168.01 P,HT,8228,Germany,2588,8210,19168,11645,3659,55330
True,63761,29373,8,104358,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G119_Panzer58.png,Pz. 58,MT,12995,Germany,2481,6718,18873,9996,617,55271
True,61505,10911,8,83778,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F97_ELC_EVEN_90.png,ELC EVEN 90,LT,12899,France,1894,4729,17504,11541,100377,55237
True,49937,19124,8,88116,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G119_Panzer58_BF.png,Schwarzpz.58,MT,7195,Germany,1704,6673,15908,9952,1303,55122
True,50193,17378,8,86673,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Rheinmetall_Skorpian.png,Skorpion G,TD,8293,Germany,2291,5957,15030,9545,71465,55045
True,48401,14698,8,82850,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G112_KanonenJagdPanzer_105.png,KanJPz 105,TD,7959,Germany,1782,5384,13947,9226,9033,54807
True,49,29551,8,100316,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch01_Type59.png,Type 59,MT,8964,China,2484,6997,19480,10641,15772,54802
True,54657,23177,8,93866,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/sweden-S32_Bofors_Tornvagn.png,Tornvagn,HT,9075,Sweden,2750,7574,17415,10026,11770,54039
True,53121,20345,8,89292,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S26_Lansen_C.png,Lansen C,MT,7875,Sweden,2041,7075,16567,10018,11463,53995
True,52865,22659,8,92229,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S25_EMIL_51.png,EMIL 1951,HT,8784,Sweden,2418,6810,18362,10746,4049,53975
True,55313,18892,8,86391,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G65_JagdTiger_SdKfz_185.png,"JgTig.8,8 cm",TD,5501,Germany,1391,8027,15828,9888,1710,53969
True,64017,11525,8,82270,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G120_M41_90.png,M 41 90 mm,LT,11516,Germany,1399,5419,18782,12284,3735,53808
True,43553,25820,8,95874,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/usa-A141_M_IV_Y.png,M-IV-Y,HT,9580,USA,2580,6769,18752,10504,3935,53703
True,31745,14517,8,82519,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R177_ISU_152K_BL10.png,ISU-152K,TD,8523,USSR,2744,5851,14002,9099,16662,53625
True,58449,10008,8,79308,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB101_FV1066_Senlac.png,Senlac,LT,10082,UK,1318,5789,18393,12391,7690,53428
True,56081,19397,8,88577,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G141_VK7501K.png,VK 75.01 K,HT,8505,Germany,2833,7358,17257,10387,3436,53316
True,45569,8753,8,83601,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R158_LT_432.png,LT-432,LT,11873,USSR,979,9688,18942,12073,38556,53286
True,65073,24578,8,93747,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch03_WZ_111_A.png,Alpine Tiger,HT,7276,China,2784,8641,18733,10641,3241,53251
True,51537,16715,8,87067,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB112_Caliban.png,Caliban,HT,11258,UK,3211,6232,16657,10113,14551,52860
True,34849,25731,8,95112,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A145_TS_54.png,TS-54,HT,9037,USA,2183,7538,18831,10454,22695,52803
True,33057,24509,8,91370,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A152_M_Project.png,Iron Arnie,MT,8460,USA,2435,6086,17678,10121,28738,52314
True,61953,32851,8,104368,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R122_T44_100.png,T-44-100,MT,12302,USSR,2420,7005,19483,9746,15329,52209
True,37393,14915,8,85183,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G164_Kpz_Pr_68_P.png,MKpz 68 (P),MT,11506,Germany,1863,6707,15209,9294,60263,52054
True,54145,26713,9,105510,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/sweden-S31_Strv_K.png,Strv K,HT,9805,Sweden,2601,16991,19269,9496,3183,51999
True,55633,21976,8,88702,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB70_N_FV4202_105.png,FV4202,MT,7454,UK,1910,7475,17181,10033,3009,51796
True,32257,21412,8,87577,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R180_Object_274_A.png,Obj. 274a,MT,7854,USSR,2226,6544,16977,10034,11523,51765
True,61761,15277,8,79770,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F89_Canon_dassaut_de_105.png,AMX Cda 105,TD,8430,France,1786,5009,13510,8646,4753,51052
True,52113,17156,8,81864,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/poland-Pl08_50TP_Prototyp_Resilient.png,50TP R.,HT,6132,Poland,2057,7547,15214,9483,5604,51027
True,47361,15076,8,80523,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R146_STG_Tday.png,Guard,MT,7191,USSR,1928,7265,15237,9649,8064,50989
True,35105,32576,8,98273,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/usa-A140_ASTRON_REX_105mm.png,ASTRON Rex,MT,8207,USA,3227,6606,17661,9144,11650,50882
True,48385,14260,8,77465,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R135_T_103.png,T-103,TD,5902,USSR,1809,6643,14377,9402,18644,50659
True,50337,23195,8,88562,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It30_CC_mod_64_Prem.png,Vipera,TD,7735,Italy,2822,7244,16927,9630,15497,50386
True,64273,14461,8,76271,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G119_Pz58_Mutz.png,Pz. 58 Mutz,MT,4707,Germany,1364,6750,14004,9245,2395,50352
True,52609,20044,8,87132,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S23_Strv_81_sabaton.png,P:Victoria,MT,5374,Sweden,1805,11431,17923,10343,837,50283
True,34561,27184,8,95690,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R192_K_2.png,K-2,HT,10306,USSR,3053,8038,17854,9359,4332,50161
True,34337,29212,9,94802,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A146_TL_7_120.png,TL-7,TD,8531,USA,3109,7589,15976,8336,7600,49469
True,13345,21946,8,86420,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A80_T26_E4_SuperPershing.png,T26E4,MT,7417,USA,1827,7942,16993,9657,10195,49113
True,61969,13319,8,82301,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G112_KanonenJagdPanzer.png,KanJPz,TD,13218,Germany,1268,6815,15412,9166,179,48948
True,62721,24448,8,97538,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R123_Kirovets_1.png,Kirovets-1,HT,12837,USSR,2806,11367,19615,9831,916,48885
True,51825,22874,8,86380,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz13_T_27.png,Škoda T 27,MT,7473,Czech,2073,7211,16697,9437,8681,48820
True,58657,28932,8,91257,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A115_Chrysler_K_GF.png,Chrysler GF,HT,6707,USA,2789,7033,19776,10528,4107,48583
True,64001,38294,8,119855,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R188_Object_259A_CN.png,Udarniy,HT,25040,USSR,3524,8015,24852,10057,262,48506
True,62001,8220,8,73508,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch42_WalkerBulldog_M41D.png,M41D,LT,10645,China,960,6153,18064,11916,2684,48489
True,37377,21684,8,85409,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R205_Tank_Rozanova_Obsidian.png,Obsidian,MT,8695,USSR,1378,6882,15976,9006,30078,48146
True,52305,31132,8,94750,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB109_GSOR_1008.png,GSOR 1008,TD,9572,UK,3195,6042,16318,8267,24796,48003
True,62209,21272,8,83109,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R121_KV4_KTT.png,KV-4 KTTS,TD,7044,USSR,2157,8036,16856,9483,1977,46755
True,62241,23163,8,83052,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A127_TL_1_LPC.png,TL-1 LPC,MT,5753,USA,2228,7442,15908,8943,1694,46692
True,561,31023,8,94931,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch01_Type59_Gold.png,Type 59 G,MT,10542,China,2619,6882,17808,8720,1060,46483
True,33313,25452,9,96629,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A156_T54_2022.png,T54 Heavy,HT,10531,USA,2849,14476,18256,8722,2828,46167
True,52353,22269,8,87855,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S23_Strv_81.png,Strv 81,MT,7935,Sweden,1883,11640,17818,9331,3067,46009
True,57889,10080,8,74505,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A99_T92_LT.png,T92,LT,13134,USA,1257,5591,17318,10622,5733,45699
True,9217,20814,8,80697,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R61_Object252.png,IS-6,HT,7341,USSR,2499,6894,16294,9216,2739,45647
True,57121,20647,8,80277,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A63_M46_Patton_KR.png,M46 KR,MT,6389,USA,2055,7671,16749,9507,610,45568
True,60465,22457,9,101512,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch45_WZ_114.png,WZ-114,HT,12652,China,2936,21384,17811,7899,3176,45017
True,51793,30138,9,103497,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB110_FV4201_Chieftain_Prototype.png,Chieftain P.,HT,11527,UK,2971,17118,19618,8475,14523,44713
True,60177,21056,8,82431,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G106_PzKpfwPanther_AusfF.png,"Panther 8,8",MT,8801,Germany,1904,7912,16111,8729,2104,44661
True,50961,8301,8,66910,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G120_M41_90_GrandFinal.png,M 41 90 GF,LT,8741,Germany,1114,5601,16608,10987,6612,44265
True,58881,19967,8,77737,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R113_Object_730.png,IS-5,HT,6938,USSR,2493,7019,16730,9429,1353,43812
True,56913,22025,8,81683,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB94_Centurion_Mk5-1_RAAC.png,Centurion 5/1,MT,8714,UK,1826,7366,15584,8314,6539,43577
True,60193,32670,8,87736,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A115_Chrysler_K.png,Chrysler K,HT,6699,USA,3337,6910,18142,8572,2394,41455
True,63793,21436,8,78869,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch26_59_Patton.png,59-Patton,MT,9193,China,1956,7190,15175,7898,534,41049
True,49409,27199,8,83089,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R61_Object252_BF.png,IS-6 B,HT,8005,USSR,2886,6906,15905,7844,2876,40978
True,64065,23520,8,82059,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F65_FCM_50t.png,FCM 50 t,HT,9978,France,2062,7844,17977,8919,732,40715
True,56657,29455,8,83600,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB93_Caernarvon_AX.png,Caernarvon AX,HT,6862,UK,2267,6891,17732,8567,5854,40390
True,48145,20029,8,74552,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G138_VK168_02_Mauerbrecher.png,Mauerbrecher,HT,6028,Germany,2985,8301,15408,8307,760,40192
True,59937,20251,7,68604,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A121_M26_Cologne.png,Eagle 7,MT,4394,USA,1963,5231,12949,7309,1304,38726
True,59905,23938,8,79549,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R112_T54_45.png,T-54 mod. 1,MT,9994,USSR,2195,6983,15650,7600,6475,38632
True,305,13402,7,65305,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch02_Type62.png,Type 62,LT,9862,China,1537,3830,14446,8452,4090,38209
True,63553,24224,8,82748,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F68_AMX_Chasseur_de_char_46.png,AMX CDC,MT,12895,France,2042,7523,15890,7317,1914,38104
True,62993,26008,7,76948,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G118_VK4503.png,VK 45.03,HT,5991,Germany,2535,6861,15111,7479,2018,38087
